1	"1900" Ball Bearing Family Washer\nFREE TRIAL
2	"A BOOK ABOUT\nTHE ZOO."
3	"A HAT AS IS A HAT"\nCan Be Found Here.\nMAKE A FEW SPECIAL PRICES.\nBROWNING, KING & CO.,
4	"A Shoot Between the Eyes Put an End to Hem."
5	"ALPHA-DE LAVAL"\nCREAM SEPARATORS.\nTHE DE LAVAL SEPARATOR CO.
6	"AMERICAN BOY"\nPLAY SUITS FOR 27c
7	"Airway’s” – Routes Fixed\nfor Airship Travel
8	"Another\nglass\nplease"
9	"BONING" BY CANDLE LIGHT.\nA poor combination—examinations, primitive candles and electric light so-\nurce, but no current.
10	"Bottle Babies."
11	"CAP" STUBBS—Cap Couldn’t See the Joke	By Edwina
12	"CHANTILLY"\nSterling Silver\nSON-BON SPOON $1.00
13	"Cheer up, old man, Wier’s Lemon Seltzer will\ncure that headache,"
14	"Don’t Throw It Away"\nSave leather so that\nthe boys in the\ntrenches may be shod\nFine Shoe Repairing\nof All Kinds at\nParson’s\n7 S. 9th St
15	"FINALLY WALLACE CRACKED THE OLD LION’S KNEES WITH HIS WHIP."
16	"Firestone"\nDOMINATES\nAT AUTO SHOW\nThe Firestone Tire and Rubber Co. of New York\nThe Firestone Tire and Rubber Co., Akron, Ohio
17	"For Every Little\nFamily Ailment”\nVaseline
18	"Free, our new catalogue, containing the choruses of 100 popular sons"
19	"GOOD FOR WHAT AILS YOU!”
20	"HANDS ACROSS THE SEA"
21	"HIS MASTER’S VOICE"\nVICTOR\nFor Every Purse\nRECORDS REDUCED\n12 in. Victor Records $1.\n10 in. Victor Records 60c.\n7 in. Victor Records 35c.\nBERGSTORM MUSIC CO., Ltd.
22	"HOORAY FOR THE STARS\nAND STRIPES!"
23	"Housework is hard work without Gold Dust"
24	"IT’S KNOBBY, Y’KNOW!"\nBILL NYE’S CYCLONE.
25	"It’s for Your Sake That I Leave You Free." She Said.
26	"I’ll wear it in my buttonhole — this dainty souvenir\nOf how we’ve won the Cup, b’gosh, night unto fifty year!"
27	"JAPANNED."\nThe peaceful invasion of China is quietly going on while the war is being\npressed aggainst Russia.	—Minneapolis Journal
28	"LONDON" TROUSER STRETCHER.
29	"LOVABLE EYES”
30	"MILLARDS"\nExtraordinary\nSale\nHOT-WEATHER\nFROCKS
31	"NAME ON EVERY PIECE."\nLOWNEY’S\nChocolate Bonbons.
32	"Nobby Tread" "Chain Tread"\nOur Challenge Anti-Skid Tires
33	"OWNEY." THE DOG TRAMP.
34	"Old Sol" on a tear—the antidote is ready. Cool\nyour equator with a cool glass of Primo Lager.\nSOLD EVERYWHERE. LIKED EVERYWHERE.\nEVERYBODY DRINKS.\nPrimo Lager.
35	"Open Your Mouth\nAnd Shut Your Eyes.”
36	"Orange Whistle Ice Cream"\nAsk the\nFountain Man
37	"Ponto, the Pup"
38	"SAVE-THE-HORSE"\nSPAVIN CURE\nThe ..\nProofs Of\nIts Power
39	"SCOOP," The Cub Reporter	The Joke is ON the Boss. By "Hop"
40	"SO DE CANNON CARRY BACK DE SHELL."
41	"STOP, LOOK, LISTEN!"
42	"SUCCESS" WOOD HEATER.\nW. A. BELL & BRO. Sole Agents.
43	"Setting the Bread to Rise”
44	"Shave your Soap"
45	"Standard" "Cadmus" bath
46	"Sweet Bells Jangled\nOut of Tune and Harsh."
47	"THE SPIDER AND THE FLIES"
48	"THERE, THAT’S DONE!"
49	"Tell Your Master That I Shall Come\nin Ten Minutes."
